Date,ABEV3,BBAS3,BBDC4,GGBR4,ITUB4,PETR4,RENT3,SUZB3,VALE3,WEGE3,^BVSP
2024-03-25,21593700,12901400,31920500,7199280,13844693,26951500,6369100,4278700,10478200,3554400,8060500
2024-03-26,32319600,15477000,19219400,6934440,19262812,24837800,10512100,8470600,27142700,7648500,9435700
2024-03-27,26211600,15874600,35882600,10456080,19398772,19995700,5526800,5490100,23927000,4968600,9918200
2024-03-28,44405600,17073600,25925000,12000480,18913508,31958200,8170600,4550100,18467000,5257500,9943400
2024-04-01,21031000,10910800,24308100,10429560,35605204,23697800,6815900,5495900,16740100,6335000,9372600
2024-04-02,19115800,10513000,24862500,10578840,20491664,45930700,8932300,6264500,22583000,5312400,9073600
2024-04-03,36137900,14600800,50953400,11062920,33775409,31437200,6010800,4869600,22319900,7117600,11032700
2024-04-04,31881300,23352000,53741700,19036440,54117291,165566800,8525200,5533000,22990500,4821600,13229200
2024-04-05,71144500,12803800,18774100,11992920,28261098,65469200,5453200,4333900,15379000,4478300,9101300
2024-04-08,18919200,19696000,23453800,10542840,19296916,36384400,5176400,3183900,40281300,3081900,8128300
2024-04-09,23795200,9392800,23248900,15952200,20178616,36989300,6145900,6085100,37026100,3764800,8489700
2024-04-10,23028800,14139800,28689800,9716760,31255391,55821500,6869000,6957500,21206800,7144900,10451800
2024-04-11,21019300,12447600,20195300,5760120,20688126,33195300,5160500,6224200,16338700,4135800,8882900
2024-04-12,16269700,11304400,22530800,13414920,25841237,39613500,14262200,5587400,25740900,6024400,10246600
2024-04-15,31625300,14411400,30053000,30596400,35825686,28692000,9887300,7938000,28567300,4838200,13504500
2024-04-16,31317300,22923700,39993200,14296200,34875666,37303000,11494000,8783300,29973800,13386100,14009800
2024-04-17,26530200,17703800,27611500,13046400,28706141,39221700,8991300,4961700,34220700,6574700,11370900
2024-04-18,28663900,15349100,40788000,12500200,24583607,45078800,7873800,3993700,19932500,6347300,10662400
2024-04-19,25809800,18465200,49864000,16038100,30496961,80546900,12906000,5928700,32882400,8284900,13604100
2024-04-22,23450600,21288500,24572300,22240200,24603774,51775500,10471800,4774700,27171200,5350900,10264100
2024-04-23,18581900,21742700,29567700,25684500,53107109,35456900,6253000,4703600,23160500,4381600,11257800
2024-04-24,37013000,11037800,21669200,18014900,27387442,45388300,8119200,4435600,25212800,4946800,10526300
